Topology #,Switch #,Flow #,Priority #,Protocol,Action,Meter #,Source Add.,Destination Add.
1,1,7,90,IPv4,1 --> 4,2,172.16.0.2, 
1,1,8,90,IPv4,4 --> 1,2, ,172.16.0.2
1,1,9,90,IPv4,5 --> 8,2,172.16.0.2, 
1,1,10,90,IPv4,8 --> 5,2, ,172.16.0.2
1,1,11,90,IPv4,9 --> 12,2,172.16.0.2, 
1,1,12,90,IPv4,12 --> 9,2, ,172.16.0.2
0,1,13,90,IPv4,1 --> 4,3,172.16.0.4, 
0,1,14,90,IPv4,4 --> 1,3, ,172.16.0.4
0,1,15,90,IPv4,5 --> 8,3,172.16.0.4, 
0,1,16,90,IPv4,8 --> 5,3, ,172.16.0.4
0,1,17,90,IPv4,9 --> 12,3,172.16.0.4, 
0,1,18,90,IPv4,12 --> 9,3, ,172.16.0.4
0,1,25,90,IPv4,1 --> 4,5,172.16.0.6, 
0,1,26,90,IPv4,4 --> 1,5, ,172.16.0.6
0,1,27,90,IPv4,5 --> 8,5,172.16.0.6, 
0,1,28,90,IPv4,8 --> 5,5, ,172.16.0.6
0,1,29,90,IPv4,9 --> 12,5,172.16.0.6, 
0,1,30,90,IPv4,12 --> 9,5, ,172.16.0.6
0,1,37,90,IPv4,1 --> 4,7,172.16.0.8, 
0,1,38,90,IPv4,4 --> 1,7, ,172.16.0.8
0,1,39,90,IPv4,5 --> 8,7,172.16.0.8, 
0,1,40,90,IPv4,8 --> 5,7, ,172.16.0.8
0,1,41,90,IPv4,9 --> 12,7,172.16.0.8, 
0,1,42,90,IPv4,12 --> 9,7, ,172.16.0.8
0,1,49,90,IPv4,1 --> 4,9,155.0.0.34, 
0,1,50,90,IPv4,4 --> 1,9, ,155.0.0.34
0,1,51,90,IPv4,5 --> 8,9,155.0.0.34, 
0,1,52,90,IPv4,8 --> 5,9, ,155.0.0.34
0,1,53,90,IPv4,9 --> 12,9,155.0.0.34, 
0,1,54,90,IPv4,12 --> 9,9, ,155.0.0.34
0,1,61,90,IPv4,1 --> 4,11,155.0.0.36, 
0,1,62,90,IPv4,4 --> 1,11, ,155.0.0.36
0,1,63,90,IPv4,5 --> 8,11,155.0.0.36, 
0,1,64,90,IPv4,8 --> 5,11, ,155.0.0.36
0,1,65,90,IPv4,9 --> 12,11,155.0.0.36, 
0,1,66,90,IPv4,12 --> 9,11, ,155.0.0.36
-1,1,79,91,ARP,1 --> 4,14, ,0.0.0.0
-1,1,80,91,ARP,4 --> 1,14, ,0.0.0.0
-1,1,81,91,ARP,5 --> 8,14, ,0.0.0.0
-1,1,82,91,ARP,8 --> 5,14, ,0.0.0.0
-1,1,83,91,ARP,9 --> 12,14, ,0.0.0.0
-1,1,84,91,ARP,12 --> 9,14, ,0.0.0.0
